series_id,industry_code,industry_name,supersector_code,seasonal_code,datatype_code,metric,year,period,period_name,value,footnote_codes,ingested_at
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2023,M01,January,154776.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2022,M12,December,154342.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2022,M11,November,154242.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2022,M10,October,153939.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2022,M09,September,153582.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2022,M08,August,153362.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2022,M07,July,153072.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2022,M06,June,152358.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2022,M05,May,151924.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2022,M04,April,151623.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2022,M03,March,151315.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2022,M02,February,150825.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2022,M01,January,150006.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2021,M12,December,149816.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2021,M11,November,149230.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2021,M10,October,148572.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2021,M09,September,147771.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2021,M08,August,147314.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2021,M07,July,146762.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2021,M06,June,145820.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2021,M05,May,145065.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2021,M04,April,144587.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2021,M03,March,144232.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2021,M02,February,143380.0,,2026-08-25 14:48:41.372731
CES0000000001,00000000,Total nonfarm,00,S,01,all_employees_thousands,2021,M01,January,142863.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2026,M07,July,135588.0,P,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2026,M06,June,135558.0,P,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2026,M05,May,135528.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2026,M04,April,135467.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2026,M03,March,135317.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2026,M02,February,135115.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2026,M01,January,135263.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2025,M12,December,135083.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2025,M11,November,135090.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2025,M10,October,135018.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2025,M09,September,135005.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2025,M08,August,134937.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2025,M07,July,134957.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2025,M06,June,134892.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2025,M05,May,134937.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2025,M04,April,134917.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2025,M03,March,134818.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2025,M02,February,134751.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2025,M01,January,134711.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2024,M12,December,134787.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2024,M11,November,134575.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2024,M10,October,134459.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2024,M09,September,134463.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2024,M08,August,134321.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2024,M07,July,134348.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2024,M06,June,134356.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2024,M05,May,134278.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2024,M04,April,134233.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2024,M03,March,134170.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2024,M02,February,134027.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2024,M01,January,133892.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2023,M12,December,133766.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2023,M11,November,133667.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2023,M10,October,133583.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2023,M09,September,133469.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2023,M08,August,133354.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2023,M07,July,133206.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2023,M06,June,133088.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2023,M05,May,132933.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2023,M04,April,132733.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2023,M03,March,132554.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2023,M02,February,132528.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2023,M01,January,132292.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2022,M12,December,131977.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2022,M11,November,131863.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2022,M10,October,131646.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2022,M09,September,131285.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2022,M08,August,131056.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2022,M07,July,130766.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2022,M06,June,130216.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2022,M05,May,129799.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2022,M04,April,129554.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2022,M03,March,129282.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2022,M02,February,128793.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2022,M01,January,127957.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2021,M12,December,127754.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2021,M11,November,127184.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2021,M10,October,126545.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2021,M09,September,125669.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2021,M08,August,125178.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2021,M07,July,124723.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2021,M06,June,123789.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2021,M05,May,123136.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2021,M04,April,122694.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2021,M03,March,122388.0,,2026-08-25 14:48:41.372731
