series_id,area_code,area_name,area_type,occupation_code,occupation_title,datatype_code,metric,year,period,value,footnote_codes,ingested_at
OEUN000000000000025119413,0000000,U.S. national,N,251194,"Career/Technical Education Teachers, Postsecondary",13,annual_median_wage,2025,A01,63820.0,,2026-08-25 13:40:00.180732
OEUN000000000000025119403,0000000,U.S. national,N,251194,"Career/Technical Education Teachers, Postsecondary",03,hourly_mean_wage,2025,A01,34.64,,2026-08-25 13:40:00.180732
OEUN000000000000025119408,0000000,U.S. national,N,251194,"Career/Technical Education Teachers, Postsecondary",08,hourly_median_wage,2025,A01,30.68,,2026-08-25 13:40:00.180732
OEUN000000000000041302101,0000000,U.S. national,N,413021,Insurance Sales Agents,01,employment,2025,A01,479100.0,,2026-08-25 13:40:00.180732
OEUN000000000000041302104,0000000,U.S. national,N,413021,Insurance Sales Agents,04,annual_mean_wage,2025,A01,81480.0,,2026-08-25 13:40:00.180732
OEUN000000000000041302113,0000000,U.S. national,N,413021,Insurance Sales Agents,13,annual_median_wage,2025,A01,62280.0,,2026-08-25 13:40:00.180732
OEUN000000000000041302103,0000000,U.S. national,N,413021,Insurance Sales Agents,03,hourly_mean_wage,2025,A01,39.18,,2026-08-25 13:40:00.180732
OEUN000000000000041302108,0000000,U.S. national,N,413021,Insurance Sales Agents,08,hourly_median_wage,2025,A01,29.94,,2026-08-25 13:40:00.180732
OEUN000000000000043601401,0000000,U.S. national,N,436014,Secretaries and Administrative Assistants,01,employment,2025,A01,1706790.0,,2026-08-25 13:40:00.180732
OEUN000000000000043601404,0000000,U.S. national,N,436014,Secretaries and Administrative Assistants,04,annual_mean_wage,2025,A01,49350.0,,2026-08-25 13:40:00.180732
OEUN000000000000043601413,0000000,U.S. national,N,436014,Secretaries and Administrative Assistants,13,annual_median_wage,2025,A01,47540.0,,2026-08-25 13:40:00.180732
OEUN000000000000043601403,0000000,U.S. national,N,436014,Secretaries and Administrative Assistants,03,hourly_mean_wage,2025,A01,23.73,,2026-08-25 13:40:00.180732
OEUN000000000000043601408,0000000,U.S. national,N,436014,Secretaries and Administrative Assistants,08,hourly_median_wage,2025,A01,22.86,,2026-08-25 13:40:00.180732
OEUM003562000000000000001,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,000000,All occupations,01,employment,2025,A01,9492000.0,,2026-08-25 13:40:00.180732
OEUM003562000000000000004,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,000000,All occupations,04,annual_mean_wage,2025,A01,86310.0,,2026-08-25 13:40:00.180732
OEUM003562000000000000013,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,000000,All occupations,13,annual_median_wage,2025,A01,61430.0,,2026-08-25 13:40:00.180732
OEUM003562000000000000003,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,000000,All occupations,03,hourly_mean_wage,2025,A01,41.5,,2026-08-25 13:40:00.180732
OEUM003562000000000000008,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,000000,All occupations,08,hourly_median_wage,2025,A01,29.53,,2026-08-25 13:40:00.180732
OEUM003562000000015125201,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151252,Software Developers,01,employment,2025,A01,121000.0,,2026-08-25 13:40:00.180732
OEUM003562000000015125204,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151252,Software Developers,04,annual_mean_wage,2025,A01,165870.0,,2026-08-25 13:40:00.180732
